Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2,Exp3,Exp4,Exp5,Exp6
49,2704,3038,3404,2885,4652,2472,2395,2490
50,4940,4866,1599,4742,1078,2463,4148,1623
51,1458,4342,3407,3618,3514,2630,2580,89
52,3351,3906,3334,848,1376,508,4113,3340
53,4068,4658,2509,3057,1289,2246,1953,4419
54,1820,712,4796,4927,3249,1897,3153,2430
55,3450,4175,1700,3103,2695,3726,2479,670
56,2078,1485,1584,3415,1906,2482,4469,3124
57,4505,2019,2916,1323,3553,399,3294,2771
58,2873,4744,3249,4281,3178,3429,1460,1121
59,3384,1819,387,1587,768,1077,2233,4696
60,4981,958,3429,3686,1352,1918,4703,4627
61,4704,3824,1813,1518,3694,2378,4378,3874
62,4437,4051,306,3228,2767,2110,3466,2406
63,3671,258,3129,2746,4705,2025,2034,4381
64,346,4912,1968,4907,2835,2137,3102,826
65,1417,2871,3881,360,1939,3418,2221,131
66,1170,2389,3316,1291,4990,3431,2429,4540
67,2119,219,4457,1697,2835,2395,2020,2972
68,2476,3878,2908,4466,2075,583,3726,266
69,1046,1912,1010,2496,1660,4268,1299,2324
70,208,3302,4834,4682,2753,1375,1668,1747
71,4582,375,1249,828,4697,2072,2678,3443
72,314,1387,724,3488,2019,2214,1057,2055
73,2997,2956,1592,4104,514,1782,3677,3407
74,71,1458,1050,2858,2902,4702,4778,3534
75,2042,3221,2081,4171,4615,3573,2286,4410
76,101,4402,2072,4715,4653,492,2395,4232
77,4509,2007,1117,2026,979,3707,3557,2215
78,1256,3543,2676,865,2712,2786,4356,3986
79,4818,3908,1650,1280,4905,4310,161,3858
80,3261,4542,261,962,4692,663,186,3981
81,2710,532,1652,721,1974,2940,756,4752
82,1291,3232,774,1603,2963,3191,2507,4356
83,1421,1044,3928,17,4560,674,3613,4998
84,2838,4197,4593,36,3573,2319,2399,274
85,3073,3640,1817,3605,526,1734,121,941
86,4472,2961,1149,4002,3795,1093,3458,3015
87,1058,4973,961,3437,2029,3551,2091,3035
88,4805,4043,4029,3115,3018,3269,4836,2899
89,3582,711,3558,4051,447,4099,4110,1527
90,2622,1852,1930,3785,4973,2425,4176,3090
91,2286,237,3473,2732,9,4106,4861,4640
92,4257,4672,3892,853,1159,1738,948,278
93,1949,3530,171,4936,3290,4401,721,4985
94,1689,203,910,481,2436,3574,818,3070
95,930,1716,3452,2383,2169,4777,320,1341
96,828,4277,1859,2753,3048,1310,3163,3160
97,2948,4825,3149,2264,4676,4799,309,2279
98,2957,655,3614,4165,3538,2958,4098,1756
99,206,1467,2243,3750,2766,227,266,2589
100,2247,1004,2328,3000,3934,2858,898,2312
101,425,196,4258,3058,1729,2163,3251,3055
102,4928,2140,3661,2426,819,559,1580,2230
103,4459,3426,1352,1812,2877,160,4915,1860
104,4996,3146,4392,896,2008,3329,2745,321
105,2529,715,4697,981,1798,1936,4339,124
106,3175,3269,4598,2435,785,1809,46,4049
107,4817,447,1242,4251,3693,3313,1918,3956
108,2179,1578,840,3404,4417,4631,980,24
109,4902,1292,953,1581,687,227,4185,1650
110,678,3877,1325,3333,3534,2505,3803,1057
111,629,3686,3194,2541,2289,2642,2538,3841
112,3174,2167,1918,3431,873,3671,3833,2954
113,4675,2812,2739,4951,585,3766,3651,4758
114,3598,1309,100,363,614,3198,3351,567
115,3023,4985,2622,3073,37,4933,4052,3263
116,134,4421,4654,1633,2814,1115,3681,4547
117,648,1256,109,121,3970,3771,3044,2618
118,1470,1617,1737,3116,1584,4666,2496,1337
119,1902,1375,995,4092,2712,4160,438,4327
120,1615,2236,1138,891,4240,2263,753,4774
121,2207,1730,3586,403,2737,4062,2144,4111
122,1822,36,4320,196,4096,3972,3298,4220
123,3146,4504,3360,1768,2335,2446,2795,3628
124,1921,386,775,3023,4159,814,4556,3756
125,2677,1795,282,3562,2090,2036,3642,2114
126,669,3008,4170,2552,4234,1620,2659,2418
127,1622,2961,4588,4974,3188,4771,939,2105
128,1008,1549,1101,312,4302,3469,3195,1909
129,175,1924,1498,4742,171,750,4833,622
130,3067,3511,4837,4523,1038,3305,2216,1681
131,2904,392,1770,346,1251,3734,1421,1431
132,2793,1825,1286,1317,2142,4484,3799,2361
133,1442,2961,3033,4256,1960,270,1117,994
134,3960,1710,4046,4231,904,3550,1678,581
135,4504,337,3595,1146,4741,4375,2284,1449
136,3754,139,2294,4266,1670,4047,1011,4700
137,1988,4311,3953,258,4585,2441,2143,3245
138,376,365,3704,4610,2423,554,4493,392
139,1819,1548,2398,839,1587,2635,3639,595
140,3304,4605,4994,4287,3912,4992,2619,4348
141,1454,1254,269,3620,1725,1305,4077,4157
142,1248,2084,4228,4110,320,4270,194,4645
143,947,863,3945,2007,2832,970,4510,245
144,2346,1933,4749,4899,983,539,3039,12
145,3072,1500,1146,1713,1951,1915,3418,3750
146,998,2127,2372,1285,1947,942,4588,4629
147,1683,1658,4861,274,1715,4078,4962,2983
148,4943,2606,3521,3291,568,1274,1425,4863
149,4601,1357,4276,3249,2108,527,3362,2706
150,3972,1278,516,1835,409,469,4940,3227
151,454,1529,3260,4765,1655,4430,4854,4017
152,4671,1599,345,3466,3542,3608,2548,1542
153,1101,1359,3593,9,2421,4654,1926,3072
154,2506,4493,1764,438,1543,2341,2967,4313
155,2145,2461,3576,4427,701,2187,2207,2690
156,1574,96,1475,3573,476,4664,806,4740
157,4309,3217,3531,4808,2654,3486,4954,660
158,3119,1716,2257,3980,1248,3997,4436,3563
159,4585,2052,4700,558,994,684,3995,3851
160,2019,4540,2079,126,4068,925,1363,540
161,1517,3775,2407,2874,4572,1791,1572,767
162,4764,3850,2172,2734,117,375,1774,1272
163,694,4139,734,4906,3447,59,4659,687
164,4062,2012,1387,4132,4772,1428,4190,2790
165,4428,168,2430,3606,383,1543,4872,2906
166,3577,4019,3978,670,748,4399,499,1504
167,1497,2067,3378,3366,3811,1714,1395,3403
168,1194,1261,127,3549,3616,3709,4703,4688
169,4934,4783,4555,3608,4983,487,2943,2612
170,3088,3266,3146,3359,1161,1720,4539,332
171,1305,3497,4019,262,2550,1328,1182,2852
172,3138,264,2448,2119,2715,4927,1304,2431
173,855,1327,4269,833,2018,3487,3016,3434
174,4004,3481,2508,4590,4724,3995,937,1521
175,1976,3466,3533,3214,1238,4351,417,461
176,2760,2834,3063,53,3826,409,2883,855
177,4409,712,3652,2728,971,3641,4659,3016
178,1408,2863,2089,1598,3610,1595,1079,387
179,1633,918,2809,4159,653,3136,4396,3864
180,3194,885,1003,3875,2311,2302,1507,2507
181,3724,3224,1859,512,3286,1441,2038,4096
182,2397,2439,2751,1215,3940,662,3649,533
183,2909,3881,3710,1050,4616,1304,4389,494
184,3643,394,1698,532,3332,985,2633,810
185,3724,3028,1824,2782,3455,3162,2724,2452
186,2522,3327,4420,718,4936,1881,2810,2091
187,3005,3910,656,4046,3152,3491,4915,380
188,4516,1445,4386,747,2243,964,2339,3697
189,4152,4056,2984,3887,1247,649,3597,3908
190,3061,3680,939,3743,4665,4257,2943,2694
191,1297,4110,1335,732,2579,1632,742,4190
192,995,3082,1034,3190,2104,4305,2528,585
193,3369,1455,2738,2621,378,4666,3994,225
194,990,1075,2010,1128,2506,3808,2650,2815
195,4053,429,3973,4912,2533,3687,2360,598
196,3483,3001,4885,3806,1258,2143,1750,141
197,4292,1504,617,1981,2273,1655,816,3904
198,685,3285,1399,3025,3886,3854,3130,2152
199,3821,3178,3441,4672,1725,790,4650,4149
200,4973,4784,73,1209,4362,1312,12,80
201,564,4190,1396,3492,3454,2235,1694,224
202,3011,2700,2335,2756,3184,257,3181,3229
203,1850,4820,1769,4709,4414,2002,838,2881
204,4954,2479,3819,256,1173,387,3540,2573
205,2461,1929,2687,148,372,656,1011,3917
206,1052,1029,1141,3208,2662,2635,2320,2602
207,1002,4966,4122,1669,2773,2143,1008,1505
208,3614,4324,2704,190,2444,1215,3721,4473
209,1911,3862,4882,2913,2768,4180,4610,1257
210,2892,4256,4670,708,3979,1777,59,3236
211,3780,3071,3295,2194,642,550,2203,4243
212,1495,2709,202,2424,1021,4479,756,4192
213,2295,1393,2760,1806,2664,178,4224,2396
214,1688,3885,1213,4089,4360,2646,3399,162
215,2171,3853,805,4041,2379,4691,289,4556
216,3763,1422,3543,1212,2096,4146,639,3724
217,260,4739,3055,2908,555,89,4325,180
218,1690,1877,3089,719,1629,856,108,274
219,1546,324,4349,2853,220,3051,3823,3386
220,4608,4461,2365,3657,4007,2336,2207,2060
221,1196,4167,3114,807,3188,873,3491,3456
222,1884,3635,393,2859,4652,2568,431,1300
223,2243,973,1915,2953,969,824,693,1939
224,1291,4197,3171,3506,3601,4726,1443,4225
225,539,1640,528,1341,717,1442,39,1554
226,1293,2962,1170,3167,328,1053,4268,2183
227,236,1225,2808,1674,2526,186,2161,4562
228,2688,2802,1284,595,188,3217,4742,4834
229,4468,2048,2652,4868,1812,2661,545,2872
230,938,3081,321,255,1660,2477,676,304
231,4077,2616,178,2046,2707,2264,819,3525
232,399,1955,2964,175,3999,100,3538,4970
233,3723,3920,2255,2119,4802,813,4142,4774
234,1801,3812,4189,339,4885,1813,45,1305
235,2442,167,995,2661,2939,4222,3853,4922
236,3226,1070,2157,3426,228,3620,2540,2242
237,4432,1826,1870,1509,3366,1914,2335,4383
238,1807,2000,3195,3433,561,385,3662,1999
239,3544,210,770,2589,200,2968,3092,932
240,4981,2049,501,1369,315,1585,3104,4765
241,2785,26,3982,472,4034,2220,2963,1035
242,2157,283,2106,2394,1272,3489,2032,4189
243,887,2543,1802,120,1358,4468,3812,711
244,3306,2455,2693,23,2194,1769,2097,3377
245,2319,1904,1905,4426,2735,2994,4278,4730
246,1643,4379,1489,3059,1392,2606,2668,1505
247,608,1958,4547,3472,2489,326,1295,1231
248,1223,2082,4713,792,556,2167,3557,1592
249,642,1615,1099,3164,2710,1434,3248,3662
250,2593,4890,4730,3913,3588,462,3589,979
251,1426,4809,1525,4619,45,593,1478,4437
252,655,468,1054,591,3308,2941,2950,585
253,4187,3714,2687,3370,3160,1772,4625,4659
254,1445,3531,2721,2016,3829,213,381,4898
255,2836,1531,941,4120,1016,453,4241,2497
256,2517,3202,229,3036,4841,519,913,4721
257,1610,3791,4266,2738,3189,2958,1234,1224
258,2594,1278,1948,2879,2407,106,4025,353
259,1491,1061,732,1533,3936,1037,77,1351
260,1485,3601,3322,536,2775,1685,1175,3229
261,272,4106,1575,1011,139,2094,374,3447
262,4218,2567,1150,4331,158,4693,1950,4224
263,3690,474,1880,2757,1351,4489,4609,2056
264,1036,2629,1503,2261,466,1225,2501,548
265,4907,1003,861,3694,369,3857,3755,1512
266,771,4359,899,2500,680,4801,3761,731
267,1317,4304,4826,2124,1114,4577,473,480
268,36,4751,748,4657,3544,4285,4782,2233
269,4883,303,1739,286,2532,2758,4674,3788
270,1589,4449,2851,547,2964,1265,4030,3783
271,3635,4382,2414,2534,4917,571,177,2432
272,3508,4087,1727,1617,3738,4922,2812,471
273,210,3213,4718,4795,1855,4934,534,536
274,2420,2245,1396,103,39,372,2838,1875
275,2889,4142,571,4595,2600,2963,3924,2386
276,4410,284,509,4189,2042,302,4031,4676
277,3938,1980,3459,3226,156,1702,1148,2839
278,1395,2222,4585,2466,2424,509,2682,255
279,1271,3968,325,973,2974,1547,45,847
280,3900,4527,4476,3187,1704,4202,907,1074
281,1320,757,4800,4631,778,4738,3419,3577
282,2648,2432,3632,3140,395,861,4542,1656
283,2731,1507,3153,2241,650,2862,423,3854
284,2036,354,1697,4566,370,2042,205,4107
285,199,3756,4778,4241,2269,829,2250,1207
286,911,1447,302,4026,4125,3506,2568,1978
287,507,228,526,812,845,477,3451,3368
288,3445,3767,4763,2185,3402,168,1737,401
289,4442,1179,4059,1071,4860,121,4942,4058
290,758,3608,2800,1799,4204,2934,38,1266
291,1679,2351,3359,3330,2502,2720,325,297
292,1766,4965,4736,156,1238,399,2919,2882
293,297,1924,4684,2427,5,3376,1510,2009
294,415,244,2847,2996,2892,975,915,4577
295,1747,1899,2556,2802,3572,3759,2247,1182
296,2749,3276,2809,3028,1488,31,3286,4821
297,3733,4776,2253,4967,1184,2194,4431,1421
298,251,3350,1051,4768,770,4700,3418,4122
299,4992,4858,3381,855,4702,1879,3189,4663
300,254,4904,2022,1601,3973,84,1600,4211
301,3670,1021,1391,4364,4771,4135,4413,1936
302,3395,1214,887,605,1932,3532,4260,2983
303,3273,4116,2466,2327,912,3164,858,316
304,775,799,4655,1617,194,636,1872,21
305,2689,4400,3142,606,4840,4059,2819,4310
306,1932,2425,613,3648,2858,4918,4196,3699
307,4273,2585,3206,1071,514,4971,3749,998
308,4242,3469,1025,2065,713,3417,948,100
309,2467,4839,2745,3008,1421,1235,2424,2774
310,3997,1230,398,4131,411,4106,2944,1309
311,3076,708,3106,2183,4772,566,4236,3157
312,4404,2147,4970,64,2735,4510,4871,3106
313,1957,1600,1178,232,338,885,3790,60
314,4339,3323,1725,3357,2335,2752,2311,893
315,1980,2810,118,3354,776,4785,222,1473
316,3265,3273,74,767,4786,2694,380,2084
317,1160,3709,2635,4925,3240,2479,2344,2810
318,200,4210,946,2428,3957,2727,4464,4065
319,2902,1979,300,678,3665,1774,4071,1656
320,2916,2911,2211,4623,4964,463,4891,3957
321,3228,4950,1582,2130,2409,4517,2861,4684
322,2349,2970,3393,4694,689,3777,3174,4874
323,3594,907,2032,595,3581,2625,4843,951
324,3539,1852,3022,3587,501,3695,2620,1881
325,2861,4744,4848,511,2989,4638,1557,718
326,2808,3635,2738,4654,860,2845,1690,2472
327,3382,3219,4063,856,4825,4045,3936,1140
328,11,1314,4200,3631,3803,892,2890,3367
329,1043,2279,1040,3325,3169,4545,3901,4002
330,508,1478,3289,3814,2595,1683,4837,4104
331,4185,949,1408,2022,3856,2912,89,2401
332,4265,197,2325,3828,3808,4543,4205,1853
333,4850,2038,4945,1904,2047,2906,3071,3818
334,3569,752,2376,898,2191,2588,4334,2000
335,4057,2387,4472,864,2904,2003,1380,1252
336,2323,4812,4809,2310,1088,4548,158,562
337,739,1637,3187,1321,4567,3157,2675,4153
338,1454,2965,1220,4888,859,741,3242,2073
339,4549,1269,363,1941,3072,4574,1011,595
340,1509,2721,4191,87,2997,2801,1977,3991
341,3551,3883,622,352,2581,702,2276,4360
342,1459,2683,4809,4839,1060,4410,1792,3684
343,3625,4719,375,35,4111,1920,545,2649
344,3490,4459,1709,2406,1095,1295,2637,1280
345,2648,4638,2278,2127,1104,2922,801,1666
346,3220,1241,590,4754,1235,661,1997,3638
347,4023,3281,423,4514,533,1768,1990,3192
348,271,645,1253,1797,1316,4950,2129,1268
349,2576,1202,1519,1655,537,55,2553,1487
350,3799,1834,194,3689,2810,576,3881,3599
351,2555,254,4314,1888,1011,4938,1130,3907
352,2858,1788,3769,2676,1286,1847,2419,2131
353,834,2166,781,2922,95,1719,2892,2921
354,494,723,3326,2778,2635,4391,1542,4720
355,3117,4551,1837,274,2868,4166,4896,2964
356,4821,3644,3375,2601,1913,873,2847,488
357,4984,1246,3631,3032,478,4338,2337,266
358,4200,35,2462,1214,1248,93,1262,4023
359,4969,2670,337,4127,1709,3005,3335,1450
360,764,805,941,2454,372,3349,423,136
361,4673,4265,1527,4909,3585,1494,3083,1263
362,2019,4887,3605,3358,1250,4031,3348,417
363,3909,3980,3777,1764,426,3805,2955,2554
364,2200,2328,2274,1304,4610,4282,3205,999
365,4614,3112,2010,4831,1322,19,1240,549
366,214,3979,3747,3393,4129,1219,4199,4116
367,933,4118,3035,550,4530,4532,1473,3911
368,887,3058,207,340,3135,746,1117,3483
369,3096,3671,3612,3523,3660,3945,2545,4755
370,4734,3368,2240,4355,161,3099,2876,4609
371,3554,3358,3441,635,333,4735,2215,1853
372,3108,4739,4886,4352,3808,3637,632,2728
373,2812,4729,657,3925,3952,2542,3221,678
374,3189,263,3669,3716,2852,4304,55,1751
375,2446,2549,3023,1678,1230,2423,4662,3350
376,4153,2524,3047,2008,3760,884,3935,952
377,1870,4854,4537,4279,4476,4527,478,3806
378,2877,1908,4664,1080,574,4263,3701,2349
379,1918,3673,4970,389,4735,983,4926,516
380,4818,4211,1572,4730,4959,1486,1351,2807
381,2517,2434,1648,4962,601,509,3062,2892
382,319,4566,4274,2930,4358,2780,669,4369
383,659,3703,3579,1471,3343,815,3456,748
384,1518,186,420,4928,3854,3596,2312,3118
385,3200,2710,2805,4843,1359,284,4653,1511
386,536,3397,4413,2699,3232,4410,2870,1367
387,54,406,1706,2725,2340,260,3247,3604
388,4178,3310,599,2342,3337,2928,3282,4114
389,1568,3850,4090,2352,2336,545,4510,792
390,2724,4247,483,4121,4022,4654,3055,1086
391,2233,1986,3784,4458,835,1750,539,237
392,3220,3553,3025,2212,2549,4069,2324,808
393,1251,3455,4695,369,4567,380,1381,1081
394,1755,3570,2969,1255,2164,3757,2867,3714
395,722,1340,1293,211,2996,2283,3374,2953
396,2811,2381,3031,1689,1492,2785,1053,3717
397,4723,4655,1660,3124,984,4616,2207,147
398,577,2152,151,2421,3100,4743,4890,1775
399,4697,4361,3949,2178,641,2140,3282,3636
400,3985,4797,995,2009,4051,3300,3061,1688
401,1606,2424,460,997,3832,1364,3862,317
402,4420,1374,1242,203,3871,1983,4229,278
403,4633,3859,1314,4848,2739,3755,2570,4222
404,545,1692,2264,1618,869,1211,3156,2468
405,4971,4546,2460,2943,1141,1072,3429,310
406,1992,3766,1093,1118,950,2127,187,606
407,4628,2337,1972,4616,3624,1192,2483,1857
408,1272,1476,1348,778,4550,3270,490,2940
409,142,4048,4318,2726,1121,4358,3434,1006
410,4155,1044,577,3860,2782,3397,1905,1026
411,2483,767,2691,2052,3058,4017,1654,2182
412,4121,4686,3436,2658,2732,406,3212,1962
413,4810,3146,3840,3137,2946,3163,2309,3060
414,3502,1405,1163,2793,2974,2576,3529,4840
415,2471,508,4577,3352,2657,2537,3844,4778
416,2845,1016,2601,581,3455,1830,548,2544
417,547,794,3910,1951,4030,4643,4778,2045
418,1238,566,4840,1095,1223,3749,2324,189
419,2196,715,1948,2639,2924,606,1566,2605
420,743,3043,2533,4703,3283,3748,3121,4993
421,4149,767,3557,4536,965,4910,2377,673
422,3468,1614,4896,3465,3964,4287,1931,1146
423,2525,2510,851,3483,214,2947,460,3537
424,3982,3179,1124,1614,2730,4351,158,3029
425,1851,778,4362,455,3120,4861,2484,3968
426,4413,1822,2696,2621,224,4823,4935,1723
427,3208,4605,2091,2809,2516,2403,2992,238
428,2082,2606,216,205,681,772,345,1016
429,4175,3977,4693,4424,282,3625,1282,3375
430,4809,4952,1842,1041,2427,3397,2238,1303
431,1172,3706,3572,4891,866,3011,2926,1804
432,3477,3554,1979,3020,144,595,4584,2532
433,677,2837,2589,1088,1449,3149,2282,2778
434,4347,1864,913,2371,3805,2135,4616,1999
435,1641,1906,94,2436,4444,4426,733,4321
436,3405,493,2758,1860,305,3390,3956,1409
437,509,2900,517,1117,1195,150,2728,3440
438,2402,1793,4626,3053,2416,2176,1227,825
439,4702,3203,4312,402,2970,3830,2279,3460
440,1471,1844,4469,3587,4313,1232,774,4012
441,4268,552,2672,1145,2893,4145,435,1206
442,2170,2580,648,4335,3284,621,3697,1913
443,392,3720,4942,1431,249,4726,1772,4427
444,2921,2538,735,2063,3715,457,1077,82
445,461,3874,2856,3350,3016,754,4162,517
446,3193,2636,1875,2420,2644,866,2698,1527
447,1063,689,655,2860,2299,172,995,3876
448,4924,4058,4064,1085,2521,3722,1240,3536
449,994,3675,3200,4771,1877,402,483,3205
450,1616,3937,2015,2405,3341,2094,839,2834
451,808,3259,3657,1585,3696,101,2401,1140
452,1215,1863,474,4664,3795,3229,4376,2879
453,2891,2665,2600,1676,1031,3361,4214,2064
454,3270,4646,4961,1495,3205,1004,320,2804
455,4011,17,1898,4982,1272,4511,3503,1616
456,3657,867,4772,3174,91,3212,4270,1662
457,1559,3491,4566,4172,1059,824,4081,2965
458,1804,4175,439,4100,4678,2064,4086,1305
459,3148,1959,4366,1245,3058,4272,4405,3032
460,3419,3734,425,2085,2674,4521,4832,1991
461,3152,584,3373,2271,608,2421,11,538
462,2430,859,4707,902,4118,3108,2696,4240
463,3949,2227,4818,4508,1535,277,4176,2761
464,4800,3409,2804,368,3524,802,607,3317
465,4782,145,2717,1979,3618,842,3577,2013
466,3026,3879,2846,1602,2439,1112,2864,2050
467,4693,4422,378,4039,2556,3921,4398,4303
468,2881,3398,3468,3356,2893,4157,3738,1120
469,4153,1767,1421,3631,4673,3041,3142,3862
470,865,3816,232,4707,4068,1818,2857,3641
471,4824,2819,3397,4421,1604,2652,4740,689
472,2305,432,301,4963,1034,3656,413,2169
473,2496,4083,4821,2288,4503,15,1754,4998
474,522,2947,163,3895,3762,3161,2176,1628
475,3587,2064,1794,3509,430,4360,3783,3047
476,2071,2178,3687,1721,1105,2899,699,682
477,3975,2932,232,1679,2737,3051,363,2438
478,1260,215,3213,2757,1461,597,2816,1175
479,4249,4072,2465,1111,3443,4766,2436,3401
480,3366,1533,2832,4215,457,1765,4262,3882
481,4251,720,1231,3074,4316,97,925,1610
482,1630,1494,2496,3310,2796,2474,1768,3732
483,1283,3528,770,4107,2851,3457,4652,4370
484,2722,882,2540,4845,63,4823,4537,2072
485,2930,3439,3980,3713,459,2865,1002,4877
486,3424,135,1576,17,2679,2164,1058,4890
487,4885,4103,1529,385,3456,346,4907,8
488,3133,3594,1734,565,3685,2223,1694,3008
489,3141,351,1638,4538,886,291,2296,1523
490,764,2484,4250,3669,2072,900,910,1965
491,1976,979,4240,2086,679,4921,1502,934
492,1673,4804,4171,3978,826,3964,897,2097
493,2401,3158,1612,4375,2299,296,1839,4622
494,4188,316,849,2846,2476,1729,4042,2757
495,3470,1858,1313,854,2521,1044,2940,1582
496,446,4286,797,1912,3449,1193,2259,16
497,2175,2143,1354,2175,837,197,4073,4027
498,153,4392,2651,1536,4954,1766,11,3479
499,252,3526,833,2701,1140,27,422,654
500,3740,2545,4018,1187,2256,4613,629,3915
501,280,2767,415,3010,1975,3001,721,3196
502,1696,4438,1281,281,2283,2019,1032,493
503,3001,816,4818,4825,3351,2277,2929,1977
504,3627,2430,4678,2472,4184,4638,1971,212
505,3210,4992,4567,2869,623,27,2140,3649
506,2853,4911,2509,3551,2456,3798,1142,1997
507,1051,1331,1425,4142,816,3879,3175,1648
508,4609,366,1439,1760,1652,4738,2746,3304
509,436,2097,4206,2290,4964,4247,2152,1628
510,4334,4642,2048,3558,1949,2459,402,2188
511,4079,3209,3152,874,918,3626,3986,3702
512,57,2318,1480,4433,2727,4548,2192,2403
513,4259,3816,4530,3280,4298,1207,2014,2344
514,3523,3972,3487,874,402,2187,3255,1276
515,1550,4219,2909,1928,251,3178,448,998
516,1207,169,367,4583,11,3308,1252,3276
517,1567,1311,4313,3573,1375,515,2282,2947
518,2615,3948,3364,4182,1977,536,4722,3930
519,2136,981,4906,3031,4140,4859,2594,2515
520,3748,464,4886,2255,723,3667,96,2525
521,2882,2141,4611,1683,2725,455,3891,1848
522,2716,1161,3982,2963,4290,2960,422,1369
523,35,2511,1174,1387,2097,3973,1590,3730
524,1432,804,3188,2745,4239,1138,504,3114
525,1653,3641,3373,4767,4888,843,2396,4198
526,2056,140,1862,2374,2827,1135,4463,1092
527,4532,1433,77,1448,4294,2443,129,3970
528,3812,4894,2022,4467,3774,4290,644,23
529,1520,1935,581,1008,2342,1095,4152,3480
530,298,2258,376,576,2465,2134,7,215
531,1864,1248,3151,2977,859,4791,815,2984
532,245,2297,2966,217,3757,1558,4561,2252
533,1101,2203,4135,263,830,3884,519,96
534,1538,447,1729,4001,3731,2211,1645,4892
535,3404,3706,1654,1881,3602,3298,2180,503
536,3522,584,4448,558,3775,2166,2012,434
537,2916,4918,1397,1155,4588,2593,1382,4364
538,219,3255,1459,2703,2638,173,4577,4631
539,994,705,554,3569,3833,1225,41,2048
540,1226,3808,1852,6,3791,907,883,3317
541,4107,4509,3134,2479,3054,2169,3526,2167
542,2255,2541,936,2572,3670,3969,2158,1755
543,721,4231,3567,964,2496,2919,227,2370
544,2998,1165,2024,1593,3361,2582,4575,4288
545,1143,2249,4021,1235,1003,4753,3108,3133
546,4115,963,4960,4754,1952,1495,2832,680
547,178,368,248,3249,1579,1773,1727,4766
548,781,4496,4970,1063,4768,3282,3283,3638
549,3446,4176,2249,1105,1384,945,4516,1345
550,2318,2381,1549,3415,4972,496,3016,960
551,532,278,3735,2894,1095,3608,4434,2481
552,385,2013,2363,2458,4591,1131,3890,1245
553,3907,4299,2472,389,1016,4761,2673,975
554,4287,2610,3198,3491,3444,2973,590,3116
555,296,2636,2392,4723,647,1402,4219,3105
556,4295,999,2725,1582,1199,613,1150,1406
557,3407,1027,2476,821,3324,992,1089,4400
558,3598,3402,2393,2742,4659,2964,294,834
559,739,3208,2985,4131,4775,4737,1169,4288
560,481,3792,2581,262,4896,852,1360,2519
561,670,2779,1918,2627,311,3347,3670,1734
562,1720,4760,2734,2913,685,1258,4677,2045
563,3349,3428,2535,357,1443,2232,2779,1107
564,4911,890,3090,4920,1525,4105,4025,2299
565,4932,4162,2890,2900,1311,423,757,1462
566,163,781,3177,1310,1735,4983,1505,4365
567,2803,2704,2237,1787,3688,1717,2030,2452
568,1198,3464,2896,816,1608,3531,3933,4470
569,4476,1024,1799,2843,1379,4754,2970,993
570,327,872,4761,708,1033,4329,630,2280
571,3227,4927,778,2892,1517,1192,3260,139
572,3404,1082,3463,794,543,2362,2779,1297
573,2692,99,3237,3102,2208,3344,238,924
