Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20
24,4516,4267,3583,1738,828,2088,1047,2853,81,126,4668,4296,2311,3171,3719,3497,4804,541,539,1162,1117,855
25,1608,2172,2119,3569,2997,3682,196,2512,2531,680,859,4084,3124,953,3615,3866,2561,1983,1515,210,369,64
26,4639,4802,1042,1759,2456,3530,1357,544,971,56,3484,4098,1099,4631,2380,1519,1701,1641,69,1222,2858,1302
27,4206,3990,739,404,1183,1108,65,2917,3467,4195,2697,3901,1636,2547,4684,2107,819,402,1552,4907,3405,573
28,3191,649,266,3862,389,3094,3586,1041,3880,2099,4871,3165,3834,4039,4470,3664,3627,3018,2818,2931,562,4460
29,4240,1635,966,3044,545,1821,2083,2427,2879,1247,2232,1018,4319,2671,994,4112,3710,1456,572,1961,3516,2131
30,2652,592,4669,2495,3799,2506,4683,3303,1690,83,3856,470,4043,4432,4233,722,1203,1909,554,1842,3079,4062
31,4101,4471,170,1283,3129,610,4779,1024,1632,424,2866,3292,843,2591,1267,2727,3171,1047,675,732,2244,4578
32,2754,3213,1762,3857,4698,3898,3969,1018,1033,1481,2305,3392,1814,2418,4926,1480,872,675,3328,2742,3626,514
33,2628,112,3243,4952,1972,3097,4349,3274,1595,173,4501,477,1505,3080,1490,2552,3540,3892,1722,2433,203,2063
34,4312,539,560,3597,4107,1231,3997,2258,4529,758,39,3992,4735,4188,3678,421,3918,4646,1063,678,1617,4400
35,3730,4741,71,3142,3254,4064,2756,2707,2012,344,1162,839,3202,1952,4669,2949,1972,4298,863,4768,2898,1963
36,3627,10,2557,4307,459,2151,1884,1551,4253,873,798,618,1288,3060,3474,172,3971,226,161,3473,777,293
37,3704,3471,2005,3759,4155,2118,4219,4762,1470,935,2341,2876,1111,4961,2944,2540,305,3242,1244,4206,736,4392
38,105,1110,4221,2173,1657,4306,3290,1038,1336,1768,4424,152,2472,2838,4798,1384,2554,1469,2683,187,2986,3971
39,4199,478,2339,279,774,4281,3390,1462,1952,1905,442,3100,1529,2840,2962,3394,2007,582,4891,3396,515,1736
40,590,1693,721,4303,3121,1294,2585,2598,951,4577,1811,3825,1385,4177,1870,1334,4637,3885,2773,4820,677,4127
41,1261,4510,823,1338,4656,124,98,1175,818,4945,2776,2,4112,2862,321,2388,2235,2684,4484,1041,246,2268
42,3792,2113,1246,2701,1766,4583,711,4094,1790,1894,910,3667,4967,1421,1853,1421,2887,1307,757,2707,4001,1833
43,3459,225,2501,977,2116,3333,3166,2956,1576,4787,764,1228,1123,4548,2238,4582,2592,2465,4339,2870,1323,4528
44,3262,1824,2985,4017,2712,1004,4050,1163,2887,3859,244,664,1125,1743,809,994,1820,4353,88,190,4505,1482
45,3856,1800,1167,3718,1960,4610,2095,1258,2798,2853,3784,2154,353,4297,3232,3661,73,4155,703,3300,156,1549
46,3831,679,1045,4313,253,1258,1869,3474,2538,4470,2687,843,4002,4402,320,916,3531,1517,1711,2401,4043,4063
47,1972,4116,955,3738,3133,303,2420,4334,4452,3772,3471,4123,1713,3260,1155,4411,2939,4691,424,2526,2112,417
48,1415,730,2558,3135,3941,2957,2301,1325,169,3544,4569,497,2064,3597,4701,2148,4472,3839,3065,1310,1688,921
49,689,2221,2357,464,1456,3320,4638,3265,680,1863,4239,538,1254,815,4800,4135,3408,1320,1313,958,2675,2988
50,1028,4728,460,4380,4589,1339,3565,537,4657,3892,808,2665,4766,3911,2200,4896,1650,3904,4576,1475,2870,1451
51,4235,2040,1846,4646,84,3377,2514,4192,4669,2122,4587,84,1453,395,276,2816,3785,4313,188,3346,4651,613
52,2230,3855,4861,3730,3380,2294,2256,3819,3770,2136,48,571,2714,2996,1105,1074,3463,2725,3593,2866,2413,4836
53,1810,3114,1547,3303,4776,2970,940,1398,3212,1828,3206,1525,1049,2469,384,274,1369,3977,3220,4216,1686,3265
54,4639,3484,4652,2532,1066,316,48,3374,2617,4586,2578,2776,2843,1319,3161,3238,3753,1537,4588,3066,1276,2907
55,94,1278,3735,3909,4869,4788,1273,3697,1576,3930,4309,1748,3596,3642,1437,2789,2304,212,2418,2067,785,430
56,1008,4756,1004,2936,1220,4673,2549,1086,2433,1560,2176,1108,2860,4691,4951,4611,3922,4897,2832,2702,1201,4484
57,4158,1575,852,4604,1149,578,838,485,2148,3520,864,2302,4011,4773,1221,2243,3377,3219,2734,3839,509,3112
58,1154,84,3787,4171,2281,1715,4058,1952,3169,1907,500,4059,859,2432,3311,3076,4779,1240,1007,4002,2482,3888
59,3816,2001,2620,1096,3938,3730,16,1161,2624,4322,2096,4977,1718,663,4880,782,682,2897,4741,3614,1019,3190
60,4809,4979,4381,952,2684,3738,167,2572,161,2820,4768,61,2935,1582,997,2549,2947,1682,304,4357,3330,2237
61,4130,4070,323,4364,2306,1612,3847,4486,2597,1985,3225,2658,97,1414,4988,3182,3673,3823,429,3298,956,4732
62,1208,4989,2120,4033,3478,2666,4142,3809,3464,148,3232,4852,623,3323,2590,3798,4925,468,4177,173,2719,4922
63,4440,175,1730,350,2024,1486,3368,4876,316,1323,2413,1580,2584,4501,3654,4605,3284,3355,3991,4021,4877,4174
64,1255,3157,3146,4648,283,2715,2908,3359,1862,163,3209,1645,3175,665,4251,753,3214,935,1925,2821,3788,1145
65,3913,3524,2318,3124,807,1976,973,1059,1059,4411,1944,1766,3548,430,3598,2606,4732,596,2626,2820,2658,3325
66,1267,3963,3613,1614,1851,1191,324,2009,3641,2519,916,2340,487,694,4897,1271,3050,4030,1980,3446,230,250
67,3152,2974,4555,795,3727,2336,1680,201,1455,2493,1306,1770,1331,2403,1281,2906,2573,220,3042,4340,2559,948
68,2402,2717,643,155,2102,3721,2107,1286,19,1179,3622,508,4405,1526,1399,1225,308,1822,916,4898,2943,3819
69,332,41,4236,337,1387,2434,4995,2763,4990,4269,5,3741,904,4936,3407,3802,2231,2768,2359,188,1355,4215
70,989,2055,562,2573,3266,2935,4011,3406,3648,1749,1863,4742,1274,1323,3783,1957,3433,2565,1926,3926,4244,4921
71,2119,2157,507,2531,1584,1194,4613,3237,3417,3216,2875,4640,3040,4326,1925,4868,1906,673,2502,1174,1123,601
72,515,2072,1271,883,3220,1191,3351,2986,151,1174,1064,4815,627,531,4598,819,4066,2047,245,3184,2553,222
73,2786,4998,1296,2978,1219,311,2135,4238,1476,59,862,4549,4198,4053,375,2224,374,518,4730,4636,614,3338
74,2719,942,1078,2669,4211,3869,3257,2376,725,3509,4456,4307,1629,2010,552,3818,2230,850,2759,4375,4701,1136
75,3155,2813,1219,876,756,2859,4798,306,520,4521,3116,447,148,3350,2857,832,341,2725,2145,4176,2653,3165
76,1036,2764,393,4083,1701,216,1346,3432,1142,74,2796,2765,3448,4930,817,3823,2681,697,3115,4528,3746,190
77,1968,4434,4451,840,4135,796,3147,367,28,415,1474,4269,2175,763,4677,2259,528,628,2223,4032,2775,4520
78,3561,4370,4847,4507,2405,2746,4470,548,1699,3229,1156,1005,4333,1326,535,2843,3093,4505,4879,1101,4610,1345
79,3733,3287,3496,4039,4787,4906,1438,3923,3833,3163,1157,2847,4967,3108,2711,331,1404,2974,3643,3600,2158,1779
80,162,3463,2649,636,3232,1418,448,4379,3711,3732,2168,2318,232,4696,816,1862,1754,3145,3337,4646,119,4955
81,3914,483,4573,4902,3686,4592,1705,3572,847,2977,4699,2317,3847,1213,4710,4221,172,4099,5,1312,4240,2629
82,3548,3460,2906,4589,2245,3399,645,1489,4077,4050,4308,3119,3834,2919,1549,2545,4812,2927,1879,883,3345,1963
83,3107,2906,3000,2243,3891,1533,580,2098,370,1093,3125,2588,2122,4022,513,597,276,2910,4926,3700,4399,4690
84,516,1404,3816,2604,2134,4638,439,2367,4833,735,1368,4670,2404,4042,3515,2164,2398,4312,731,2729,4562,1192
85,968,2613,4101,3495,4283,3466,3613,4903,290,1979,2434,2655,1976,3163,4070,4126,1332,4469,497,1036,2830,4697
86,1499,2839,3906,2868,4569,4064,2804,4670,1130,1514,2410,3784,2274,124,1629,1058,971,4162,654,4033,2614,3596
87,2850,395,336,5,4644,4864,2705,4609,4519,4208,2630,3204,1225,2134,4735,4197,4965,1062,4239,2985,3858,688
88,2708,2545,417,928,2167,1468,1369,1605,1774,1152,4576,1581,2872,1879,3728,4314,2106,2920,4823,1927,1643,320
89,1056,2512,3698,1416,4393,4999,2350,227,96,2786,808,3840,2748,3353,4037,4367,4871,1311,995,4752,2003,3391
90,2088,2086,4755,4226,801,2740,4824,3127,119,3544,2967,517,3526,2509,4845,2671,4714,444,3886,1727,3882,1659
91,945,1081,3983,4903,2940,65,3975,4166,71,2831,4559,4027,4199,3836,3694,96,3324,3763,2675,2037,4775,2026
92,1533,1649,3440,1197,4896,168,4349,2021,954,3710,728,4599,4594,1851,921,3092,2431,2670,2967,1422,3723,1829
93,793,1093,3925,3097,1626,2614,4684,4014,2698,3268,1410,4621,4318,368,1832,3255,4703,4789,3953,1018,506,3565
94,2375,1409,1570,1691,4441,1690,3193,4246,3484,3558,3336,4140,115,3355,844,1141,4142,2874,325,2222,1920,4077
95,1027,4279,740,2547,3607,2837,775,4882,2467,4640,2148,1061,4165,642,1881,4144,1861,4160,4024,1887,1596,1758
96,2989,4102,692,1874,1298,3163,1121,3184,4530,3196,4450,4794,1912,3551,3455,313,2278,1348,4871,2453,138,1261
97,2623,1375,1685,2188,4374,1849,287,218,2207,2695,2056,4004,2897,3579,188,936,559,353,4899,427,3226,1814
98,3062,1251,1395,223,1129,2305,1691,2210,2143,893,2223,1485,344,1814,3949,4562,2077,4248,453,1930,1482,459
99,4752,440,179,4606,112,3071,2999,415,3319,2159,4872,324,4508,2152,1772,4761,60,1444,4690,4785,1740,4729
100,28,2548,2377,1550,845,4545,4365,4935,2806,610,4995,1367,4896,4424,4705,3617,1172,4410,531,1111,3486,2034
101,4949,447,315,3204,363,528,1968,2734,1573,2318,1922,1323,4177,2806,3328,2938,654,296,2050,2492,425,1403
102,4823,2102,1121,3736,4325,3468,1876,2187,1511,4972,4018,277,4006,4871,1098,80,4796,476,2130,3911,2952,379
103,2351,317,1682,2727,1051,122,594,1960,3688,2696,1994,1596,4282,505,1698,3006,4051,2383,3991,693,4419,540
104,4222,4968,3076,2732,948,4307,4099,1388,3744,1837,524,4648,764,3015,1144,1720,191,3188,4862,4199,4927,2504
105,3709,639,4132,2463,1165,4890,3675,1625,4589,2683,3850,1308,1522,4849,3707,926,4017,3536,4090,4624,2033,1961
106,4445,631,327,304,1183,2991,3802,1750,4479,754,4477,4551,1303,2533,269,4428,154,1544,2538,3793,3094,4409
107,3645,1636,3804,370,2166,507,4996,268,4327,2420,148,1397,3068,2371,2158,4321,1525,1898,132,4665,743,4445
108,3866,1002,4361,1945,2603,4017,3318,3661,1907,2510,3815,3752,3127,1766,3094,3731,1750,1372,3725,218,4235,2283
109,1570,1494,1318,2831,3521,820,2689,3901,548,2119,2420,4798,2852,3250,2937,3061,3632,1905,220,2132,618,1508
110,567,3864,1165,1718,1631,3687,1254,251,3785,491,2832,1710,1230,2543,2489,1228,4369,1819,2631,1724,328,4316
111,892,3828,1870,1606,795,1478,2220,4825,70,1974,2124,2117,3851,4470,2591,213,3651,2831,2540,4029,2545,858
112,3129,2044,3564,4344,1208,3015,1160,804,440,77,995,3624,544,4486,2862,4035,4960,1891,399,4562,1635,4211
113,2586,4294,4489,1641,719,4001,3024,1608,461,3569,1013,730,3851,447,3437,4446,4034,2969,4999,1198,1388,4564
114,1913,1704,3663,1422,1663,327,3448,4387,1560,1275,4716,3605,772,3633,770,4536,3390,551,3774,1593,222,2249
115,2999,2215,1872,3892,4804,1464,2001,1774,3324,699,3005,4008,202,436,2278,2380,2882,1407,1998,725,4786,3755
116,4346,290,4801,2464,3273,1762,263,4459,30,4841,4078,2550,17,4990,4566,3768,4596,2892,69,3583,784,4566
117,1919,4174,1773,2268,3117,868,695,3429,3400,2073,2307,2838,4463,470,1375,4166,738,1526,3060,4262,1899,3001
118,2000,3878,2146,1348,1808,1494,3679,2569,661,2981,265,1885,1036,1758,3486,1931,1389,1179,980,4833,3842,1480
119,344,3231,347,4483,2330,3438,1175,4086,361,3778,1594,1043,470,1667,3031,1141,3813,341,298,3136,429,1709
120,2553,575,4857,1345,4493,1034,4587,1342,1317,194,2767,1863,4242,2853,2973,1207,3371,1589,3646,4805,2381,3557
121,1240,4592,2622,4890,3851,237,721,80,837,1261,3375,1947,341,1985,1001,4290,1977,3513,233,4264,2445,4015
122,2927,1655,3784,709,2162,1922,2386,3741,3597,3114,591,4685,4702,203,1385,1484,395,2240,2070,2805,4216,3827
123,2132,3467,3198,2810,437,4208,1309,3615,4102,2490,1569,169,1796,1599,4216,238,2179,4609,991,946,1296,4823
124,1886,4664,3835,3765,1276,561,2881,1111,309,4794,4203,3022,1581,2630,2663,4857,4045,4890,898,2448,352,3052
125,801,239,4382,2313,2547,2302,847,4229,2129,3529,3267,885,1318,1056,2030,1716,4114,4190,4878,1745,1466,3452
126,1507,3817,2175,1437,978,3597,3869,4714,2160,2553,2181,2825,4821,4436,56,4123,4117,2354,2482,621,2193,1109
127,523,223,512,2475,3235,817,4624,4031,629,1537,3469,2802,2959,2129,627,452,1101,3908,3660,1112,2283,4152
128,3530,3985,2204,1164,2073,3675,3710,3073,2286,1868,1210,4868,2420,1826,3482,2433,3724,796,1837,3318,1873,4410
129,304,3286,2711,593,3271,4917,2032,2044,4186,3719,3079,4631,4939,4135,750,423,3945,892,2622,2901,2021,364
130,1484,3568,4438,66,42,763,2253,232,1070,2977,4863,3367,4567,4430,2611,2684,4499,367,2910,3408,2050,663
131,8,198,2707,1571,370,3339,2009,1790,1269,3170,4484,4011,4500,1962,1279,375,3625,4787,2574,4808,511,4891
132,4750,1993,1743,1175,4114,2502,3609,4322,3152,3899,1305,3832,4172,362,4795,3555,697,1392,4287,4814,4691,1569
133,4789,444,3961,1618,202,874,2269,1437,1897,4893,1909,303,840,1210,1424,1634,3747,4580,4963,1332,2416,2246
134,4393,3057,2842,657,568,4943,2590,639,535,519,1400,4301,4690,703,946,1060,2456,1385,3717,2576,3703,669
135,4455,2939,80,3698,843,3346,4832,1988,3030,4790,4849,133,3344,4708,3855,470,2314,3167,1528,525,1355,4920
136,4308,3441,3902,645,1138,1544,4762,2097,3543,488,358,3925,737,3841,3947,1230,1178,4514,366,2520,4769,2313
137,2781,2762,2638,2349,2206,3104,4144,4002,377,3082,2851,4982,1622,4643,1912,2393,148,1356,487,2433,4842,3334
138,4787,3091,1943,409,2310,524,4383,2484,468,4070,866,4128,3495,2092,206,2022,1640,951,1915,4379,4046,1289
139,3297,502,4030,3243,1631,101,4094,1724,3546,4135,4136,2400,240,335,52,3951,1605,4309,585,2135,3929,4280
140,110,2142,4401,1790,4208,713,4953,1754,1525,2576,1473,1021,3748,3464,3515,2030,338,615,4140,3528,3972,3182
141,1587,1890,11,3819,3461,631,4162,3250,1574,3530,911,275,3167,1420,3742,3319,1371,3196,4149,1521,1558,2852
142,607,1958,1071,1247,4152,3961,1970,529,1156,3765,1838,4148,4231,1606,1791,390,1760,1894,4344,1702,603,1390
143,4885,2210,886,664,2722,82,2889,1775,3195,4009,3566,1805,1672,207,2737,146,3328,3580,1531,1477,2686,2716
144,4217,4172,1544,4978,837,572,730,1824,2399,2980,4115,4109,1092,750,1626,4053,3074,3642,2717,795,3032,85
145,3867,3241,1844,2436,3947,2404,2187,1449,3743,3824,1147,622,965,3487,3356,3263,496,1654,1496,4564,4541,947
146,4059,960,2638,3281,2935,3959,610,3468,686,4671,190,3142,3168,682,3042,3993,1383,478,875,2269,2669,1180
147,3664,2415,672,2756,2381,3173,4737,2679,4882,1954,3651,391,2966,3770,1957,4412,1419,4280,4602,3041,987,3499
148,3351,439,934,4516,4626,2573,1941,4906,3461,1090,1334,885,3833,1516,897,2675,2520,264,2867,465,3148,2713
149,4020,3582,4372,118,2642,2767,3460,1379,514,3549,3832,3247,3130,260,1223,2490,1173,3993,3940,1675,3700,2719
150,3789,4080,1154,597,203,3230,2065,3419,1290,259,3609,2700,3214,199,2323,4083,353,4859,1520,1543,4606,4122
151,4037,2988,1674,3495,3275,4307,3018,377,2004,4623,230,3731,2338,2252,40,4793,1195,52,2603,4680,2156,2932
152,4004,546,1800,2719,393,1747,1801,1625,3784,983,1413,2911,3324,1995,2681,3555,1210,2634,4584,1192,2133,3406
153,1057,4912,1796,1707,965,2400,3647,3528,4108,4970,3408,3594,1301,777,4316,1270,401,79,888,234,4779,4669
154,3500,366,502,4985,77,1635,935,3724,893,636,1628,3159,666,2814,834,3224,3658,2894,1886,4626,1733,394
155,471,203,4334,1155,2033,863,830,352,4216,2717,3874,3245,4672,3733,2304,3706,2949,4522,820,2118,2218,2890
156,642,42,3041,3838,1323,1311,2159,406,3262,2222,2839,2797,513,1021,3416,1416,4203,539,4600,3629,4925,1648
157,1365,1341,4645,3952,4758,2057,232,1799,1530,3438,3389,1927,1699,1183,3146,1073,1402,3538,4891,1219,1246,1357
158,3932,3315,36,4112,2937,3838,4913,3253,908,2982,599,2333,4343,3010,2947,3596,4812,2611,102,1439,3766,4467
159,2758,1437,617,3578,4207,4867,4383,4871,130,3935,1701,1927,2799,4223,4691,1362,4383,3807,4176,3206,1569,2992
160,33,3186,4314,1963,1768,2153,1305,4276,1452,1870,3471,893,1191,1510,4797,328,3691,750,1822,1077,2886,3066
161,407,2903,4196,2017,461,4329,1511,1946,1201,4290,759,3719,4288,486,1287,2889,4434,2310,577,254,2602,771
162,4498,170,2929,2125,2362,4817,753,2674,2287,3865,535,3561,2851,3821,4997,1026,1430,3586,83,3183,4147,3735
163,3703,4769,3079,2368,609,643,1057,1699,2551,78,1455,2821,3685,3861,510,2841,338,2378,3503,4065,3940,4487
164,1120,2008,1129,2198,1667,1976,697,2139,3921,3054,1989,1685,3944,3315,2443,4811,747,1161,1432,3819,394,3789
165,463,2294,574,1809,211,499,3850,3628,4994,1387,3372,190,4766,269,3789,251,1777,2310,1099,3018,4986,4980
166,4550,2547,3162,4137,4856,3787,4207,4393,1586,3953,4607,222,1246,4536,2901,4713,789,4845,3683,4021,2453,3888
167,3626,1519,3087,578,65,2158,3332,4202,361,3429,833,4097,4306,594,1362,2126,3957,3201,2302,3642,4810,4676
168,498,1413,4229,2595,27,356,2520,4527,1555,453,2346,4845,50,2195,3414,2656,2127,3953,2781,232,723,3134
169,281,400,47,4572,894,793,3294,793,3948,3624,4876,1461,1676,4297,2372,1053,2565,1793,13,582,430,373
170,1843,3966,2232,1760,482,1500,4292,775,527,2305,3888,812,3108,223,1937,1826,3409,3864,4250,3391,1944,315
171,3588,1788,307,675,381,1011,4011,1487,3010,2326,989,4711,2044,1046,334,1340,1767,1081,1089,1602,4827,3514
172,1049,1977,2478,4163,4729,4544,425,613,4542,1199,1268,4917,4146,3702,3738,3534,2595,208,226,2129,3897,1797
173,1969,3563,2397,4889,2631,4919,4603,2034,4658,3562,2505,3117,4380,948,3363,465,1894,4157,2920,2560,2891,591
174,2338,2067,2442,847,4794,100,124,3773,2387,2166,2043,363,3570,1037,574,3688,3867,1919,3669,2122,2441,1973
175,4692,4828,3875,4445,4419,4946,4653,1935,2472,923,2892,4034,1890,2144,870,2524,855,4535,1451,3319,3909,4281
176,418,1714,299,2666,3752,575,4759,528,4654,2557,26,4961,4681,2727,879,1906,8,1703,1012,4386,1501,1782
177,3309,1216,2985,4016,1574,1489,1933,3505,2783,4245,1144,3477,3355,2803,4169,4180,4095,4726,4579,2051,214,1667
178,1132,3598,3510,888,4496,429,545,3578,1953,3857,4597,561,3235,2691,1590,152,1129,4119,1793,3245,2830,4140
179,2810,472,2413,3237,3618,916,805,2794,2840,1271,4503,2587,84,1,1645,4249,3026,3968,4446,340,4768,102
180,4863,1602,4405,1424,981,1917,2272,4629,4055,4641,1599,3229,4349,1864,2848,2228,3303,2453,157,495,2158,4260
181,3469,4827,2057,3257,3253,1469,4946,3830,1252,526,3603,3270,245,3140,1082,718,335,3384,3271,367,4624,3662
182,672,2435,1473,4101,2867,926,3909,1433,4077,1212,90,4472,895,484,2985,2991,2416,767,1581,3365,1787,4450
183,347,3102,1782,3256,1055,2121,1480,1497,2216,4047,39,4235,820,645,2668,1902,2885,906,167,4450,4525,3740
184,4442,2651,698,2508,1783,3501,1757,2224,3597,3421,4113,3235,830,4723,3013,1809,359,73,1329,511,1608,3541
185,4007,4473,2779,4602,1760,1632,86,1609,2707,2748,1453,4560,3386,3455,554,4817,1663,2686,3600,1051,3981,3133
186,2834,2889,2834,3724,409,2386,4518,2675,1722,815,2039,4436,2127,3323,1262,2500,4821,3281,3725,755,4915,4807
187,4818,1016,3845,1306,2697,2403,2097,4000,1840,4655,4384,109,2056,632,1524,2067,1940,441,2607,1144,4865,2188
188,2227,1558,3130,4707,1711,1899,2303,652,3112,2846,585,202,2462,4043,3248,455,4693,224,4639,2377,1490,4104
189,1167,915,812,131,4290,580,1949,1825,2430,3960,1995,2072,473,1506,4809,3697,810,4826,4451,188,2145,1999
190,1560,1476,4840,3843,3670,4485,3659,3853,80,4766,1773,1063,1488,1473,2627,89,4628,3483,2798,1235,2327,3490
191,3238,4889,574,2221,2062,1354,255,2913,498,3424,1675,563,4795,1281,2659,2474,3502,3753,65,2942,4902,2049
192,72,4038,1666,3833,1341,3556,1183,188,3512,2068,4962,3226,359,3894,2884,2216,1049,2314,1306,2524,1856,2987
193,2422,1908,2498,4866,907,1192,3927,291,1181,3597,2087,4369,4995,4540,3692,2907,1625,4363,2970,2391,4673,226
194,286,2691,4776,1033,4544,73,494,1221,760,1912,2081,1848,3570,4541,75,535,2669,57,881,1666,4290,4747
195,3838,2210,1323,1599,3198,1860,1323,4127,1574,2882,3013,3712,1936,2977,4744,980,833,4351,1424,3782,2865,599
196,787,4514,564,1263,1539,714,3724,255,2296,1148,67,969,3359,3867,1229,4910,1740,1449,3568,2833,3760,1116
197,1210,4957,1658,3634,1185,206,3264,2433,3769,3385,4333,1817,1668,4905,2971,4450,1143,600,915,2138,2364,909
198,756,1439,1617,3029,4032,4592,458,2822,3991,1682,980,3773,781,588,899,4932,1235,542,4197,940,2521,3694
199,296,2279,2117,2795,2031,3705,3524,4077,4171,2211,3568,4996,3870,4099,2437,185,3009,3077,4301,3778,3991,3654
200,2324,1014,2079,3774,2507,3650,3811,4122,3509,4224,4293,671,220,2018,775,1630,180,326,1097,1416,1432,2628
201,1398,82,2509,1236,4,2090,3542,3118,2578,1713,334,3944,2344,2780,2011,3755,718,701,4846,1173,1314,2087
202,47,3560,2437,1855,700,3803,1341,4795,4910,1250,1371,3496,1249,3812,4109,641,1221,4179,4707,361,2914,1313
203,592,4958,226,4092,1532,3255,4267,4572,453,3084,4892,5000,3342,3645,37,4760,4178,4967,705,2030,1663,4827
204,1721,499,2449,3532,2242,718,2259,4075,3623,1026,1999,863,4133,1229,2915,3568,374,2886,3034,1752,4730,2617
205,4205,2741,3414,695,3814,2307,4024,3238,4610,465,2335,2088,235,4859,1221,3777,2779,4948,340,4406,209,2787
206,1547,2764,4992,2740,445,3948,703,2453,2762,3150,3136,2191,3961,2912,3269,2910,2974,530,1209,269,2199,1794
207,3902,2409,4857,2607,3890,56,4106,2063,4126,1046,2490,867,2745,2840,3979,652,3260,3841,4752,1440,1844,1626
208,2184,3535,4566,3938,3085,2262,4282,3100,4398,1334,2007,4761,994,2034,749,1496,2203,3932,4818,4027,3017,1806
209,4135,2260,1653,4962,3187,1910,4785,3445,376,2100,675,2138,3320,1215,3370,3448,3637,3596,2569,4999,4656,2349
210,4929,3118,3986,4435,3025,22,1502,1768,769,604,4330,1693,1220,1343,1666,2769,3308,2221,1047,3637,4171,1508
211,4885,4500,789,636,236,246,275,4950,1266,1424,3477,4554,1087,633,3783,444,2436,2009,3401,586,1104,869
212,2100,4224,4421,881,4684,940,4249,3862,3085,3511,2541,4281,3500,782,4866,1059,182,1965,3150,428,3148,2768
213,4752,1626,1003,4067,1399,3431,1962,1499,2430,2196,2871,2962,523,1898,4942,1798,1301,3365,845,1403,2269,2790
214,561,2177,3105,773,3113,701,4900,4020,1859,4395,3590,4350,2211,4731,4078,2052,2262,582,2656,1716,3609,2882
215,1442,2071,1309,2402,1345,2349,4793,3119,4142,4067,1852,4180,2724,3639,2077,4134,2701,4772,477,1482,4911,4983
216,102,1693,4927,2707,3938,875,2721,1868,3652,4204,377,3773,2130,1263,2646,1538,2348,230,2475,4645,2378,4886
217,1178,1868,3186,948,212,3,2645,1201,3310,3572,345,4289,1060,2624,883,4210,4500,2846,2021,832,2410,4574
